title,youtube_url,start_time,end_time,sample_type,description,genre,decade
Coro Miyare - Daniel Diaz y Jafet Murguia,https://www.youtube.com/watch?v=v7ld6Fi7HaU,0:00,0:08,percussion_intro,Intro with congos for salsa song,Salsa,2020s
The Winstons - Amen Brother,https://www.youtube.com/watch?v=GxZuq57_bYM,1:26,1:32,drum_break,The Amen Break a famous drum break,Funk,1960s
"Rubens Bassini, Los Latinos - Bongo",https://www.youtube.com/watch?v=kmG36rR40S0&list=PLOZYbYEYUmcgVCq5tDi68fUH_1Aa7gdRq&index=10,0:00,1:02,percussion_track,Full track of bongos,Latin,1960s
Yussef Dayes - Chasing The Drum | A COLORS SHOW, https://www.youtube.com/watch?v=DEuYzbpKxkg,0:13,0:29, percussion_intro, Drum solo at start of jazz song, Jazz, 2020s
IKE TURNER - Funky Mule,https://www.youtube.com/watch?v=TMTNf010-Hs, 0:00,0:08, percussion_intro, Funk intro drum solo (break), Funk, 1960s
Llamada de Despedida,https://www.youtube.com/watch?v=NXcKITZaKrg, 0:00,1:24, percussion_track, Uruguayan candombe percussion song, Candombe, 2000s
Kunchuzo,https://www.youtube.com/watch?v=V344GVjbG7A, 0:00,0:13,vocals_intro, Intro of colombian champeta - chants, Champeta, 2020s
"Anzala, Dolor, Vélo - Ti Fi La Ou Té Madam' (Guadeloupe)",https://www.youtube.com/watch?v=aiF0JFch93M,0:00,0:27, vocals_intro, Guadeloupean song with vocals, Guadeloupean, 2020s
Missié L'Abbé,https://www.youtube.com/watch?v=ukIoKlx4Agw,0:00,0:04,flute, Caribbean flute intro, Caribbean, 1950s
Camille Yarbrough - Take Yo' Praise (1975),https://www.youtube.com/watch?v=sGQbtyctPmE,0:00,0:21, vocals_intro, Famous intro of soul song, Soul, 1970s
Security Of The First World,https://www.youtube.com/watch?v=YHyCIDu6dSY,0:00,0:19,percussion_intro, Drum break at start of hip hop song, Hip Hop, 1980s
"Something’s Got a Hold on Me",https://www.youtube.com/watch?v=2B8zW8uNToI,0:00,0:25,vocals_intro, Soul song acapella sampled by Avicii, R&B, 1950s
Just Brothers - Sliced Tomatoes,https://www.youtube.com/watch?v=vKNOPKftdJ0,0:00,0:05,guitar_intro, Guitar riff at start of rock song, Rock, 1970s
Marinheiro Só.,https://www.youtube.com/watch?v=EE-VSyWkQcY,0:00,0:09,vocals_intro, Brazilian song with vocals, Brazilian, 2000s
Bozá Nueva Gaita - El Evangelio (Audio Oficial),https://www.youtube.com/watch?v=2yyehJlQlc8,0:00,0:03,guitar_intro, Guitar intro of gaita song, Gaita, 2000s
Toqui Pra Yanssan,https://www.youtube.com/watch?v=glt5NMA47Fg,0:00,0:07,spoken_word, Spoken word intro of Brazilian song, Brazilian, 2000s
AZÚCA / EL LORO Y LA LORA (Canto de Tradición Oral) (Video oficial),https://www.youtube.com/watch?v=R4PzGspvQA8,0:00,0:23,vocals_intro,Traditional Colombian cumbia song,Cumbia,2010s
Cumbia Moderna De Soledad - En la Nalga Pégale,https://www.youtube.com/watch?v=ipv8lp1PRmA,0:00,0:15,vocals_intro, High energy vocal intro of Cumbia song, Cumbia, 2010s
P18-La Verdolaga,https://www.youtube.com/watch?v=ZHr3afQlGso,0:00,0:17,vocals_intro, Reggae version of traditional Colombian cumbia song, Reggae, 2010s
Labi Siffre - My Song,https://www.youtube.com/watch?v=aBhBG5lqpzM,0:00,0:12,piano_intro, Piano intro of soul song, Soul, 1970s
